"","id","a_0","a_1","a_2","l_0","l_1","l_2","m_0","m_1","m_2","n_0","n_1","n_2","o_0","o_1","o_2","p_0","p_1","p_2","wa_0","wa_1","wa_2","wax_0","wax_1","wax_2","wsx_0","wsx_1","wsx_2","e5_0","e5_1","e5_2","h_0","h_1","h_2","s_0","s_1","s_2"
"1",1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0.946306049370567,1.14506207780285,1.47058786186377,0.946306049370567,1.08357917112966,1.59349837643169,1,0.324862089682993,0.317485695469797,3,4,4,"H","H1","H10",0,1,1
"2",2,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0.991719656539516,0.87780777357926,0.671070090890208,0.991719656539516,0.87053922372174,0.584192835986439,1,0.870016519733503,0.752829343346073,3,2,3,"H","H0","H00",0,0,0
"3",3,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1.03880998737184,0.804113611992482,1.18843799419844,1.03880998737184,0.835321251119434,0.992727512191709,1,0.368855552909177,1.69214415845917,3,4,3,"H","H1","H11",0,1,1
"4",4,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.992782848474187,0.763972678577815,0.770411989076683,0.992782848474187,0.758458971994937,0.584325885247676,1,0.867211146228532,0.76044784389441,3,1,2,"H","H0","H00",0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.986805622974178,1.1334227466205,1.09856545938918,0.986805622974178,1.11846793957194,1.22871024584792,1,0.86481392386148,0.746990372175469,3,3,2,"H","H0","H00",0,0,0
"6",6,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1.01444983437373,1.05652980775167,0.933870184668901,1.01444983437373,1.07179648848459,1.00091878462859,1,0.975160218908653,0.979692637369837,3,3,4,"H","H1","H11",0,0,0
"7",7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0.976867743603744,0.703582016730594,0.644306989302821,0.976867743603744,0.687306577123787,0.442836431434654,1,0.35250787294431,0.302558189554247,3,2,1,"H","H1","H10",0,1,1
"8",8,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0.974695849991984,0.591300586338283,5.2827137339455,0.974695849991984,0.576338227601751,3.04462987034958,1,0.996622005929968,0.942421410856371,3,1,1,"H","H1","H10",0,0,0
"9",9,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0.963581757656485,2.73182084787851,0.533931539781972,0.963581757656485,2.6323327342014,1.40548546999064,1,0.977797324946071,0.977467556719945,3,1,2,"H","H0","H01",0,0,0
"10",10,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.04521781867202,1.21276131890001,1.27426362577038,1.04521781867202,1.26759974031047,1.61525624111361,1,0.37041562363308,0.476662497145517,3,3,3,"H","H1","H11",0,1,1
"11",11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0.986805622974178,0.693994757505858,0.971931707778637,0.986805622974178,0.684837929021382,0.665615697905337,1,0.86481392386148,0.752233484505598,3,4,3,"H","H0","H01",0,0,0
"12",12,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0.995726636596579,0.565474399852938,0.76278349086413,0.995726636596579,0.563057922247036,0.429491287490298,1,0.987079970312596,1.0175104984639,3,5,5,"H","H0","H01",0,0,0
"13",13,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1.01444983437373,0.824958097707218,0.925012553140886,1.01444983437373,0.836878605584355,0.774123215620569,1,0.975160218908653,0.98788154082467,3,4,5,"H","H1","H11",0,0,0
"14",14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.957956158940521,2.38987657315239,0.751270501659754,0.957956158940521,2.289396982359,1.71995641943518,1,0.96528609768976,1.03612283077674,3,1,3,"H","H0","H01",0,0,0
"15",15,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1.05642868930685,0.844545204608473,1.23976280664376,1.05642868930685,0.892201783564911,1.106118587285,1,0.86980240205304,0.751605327566154,3,2,2,"H","H0","H00",0,0,0
"16",16,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0.975807709478632,0.678404668537848,0.919124849802019,0.975807709478632,0.661992505705529,0.608453762376656,1,0.998685542949684,1.09280870140931,3,5,4,"H","H1","H11",0,0,0
"17",17,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0.981461242507494,0.703042668908682,0.877840817480367,0.981461242507494,0.6900091313629,0.605718179944526,1,0.997521955344799,1.0553995289477,3,5,5,"H","H1","H11",0,0,0
"18",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.957956158940521,0.875588504685216,1.03389937944515,0.957956158940521,0.838775400760723,0.867209366340366,1,0.96528609768976,0.939624253922637,3,2,2,"H","H0","H00",0,0,0
"19",19,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0.989819148436678,0.59005960694843,0.731105376485932,0.989819148436678,0.584052297676576,0.427003774980307,1,1.08118713936534,1.05398724240252,3,5,3,"H","H0","H01",0,1,1
"20",20,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0.975707046098489,1.34937653413622,1.03851711958141,0.975707046098489,1.31659619219667,1.36730768517194,1,1.01327819671307,1.13700955174685,3,2,4,"H","H1","H11",0,0,0
"21",21,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1.00840601630582,1.01228597413732,0.679821661456931,1.00840601630582,1.02079526654207,0.693958734108003,1,0.976157568880719,0.869115082480383,3,3,4,"H","H1","H10",0,0,0
"22",22,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1.00840601630582,0.729248871815111,0.862092018161755,1.00840601630582,0.735378949722591,0.63396432288002,1,1.14835635723081,1.21024903226894,3,5,5,"H","H1","H11",0,1,1
"23",23,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1.0102423562848,1.07403053511197,0.797814072093285,1.0102423562848,1.08503113851335,0.865653110965348,1,1.5789170549449,6.67309534212775,3,3,5,"H","H1","H11",0,0,0
"24",24,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1.03869589341417,0.939726069381581,0.55208218495972,1.03869589341417,0.976089609200889,0.538881684164106,1,0.351079946463583,0.518946766796548,3,4,3,"H","H1","H11",0,1,1
"25",25,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0.985755233532508,0.64108961118821,1.4281511086125,0.985755233532508,0.631957439392098,0.902530717663742,1,0.867362723157318,0.777617170202533,3,4,2,"H","H0","H01",0,0,0
"26",26,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0.985755233532508,1.37230953082824,1.036532374064,0.985755233532508,1.35276130204047,1.40218088394592,1,0.867362723157318,0.749747888824292,3,4,2,"H","H0","H00",0,0,0
"27",27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.957956158940521,0.712469823558953,0.928357716291513,0.957956158940521,0.682514855537565,0.633617932621886,1,0.96528609768976,0.951214393779181,3,1,2,"H","H0","H00",0,0,0
"28",28,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0.986805622974178,1.04170583121322,1.28885859369201,0.986805622974178,1.0279611717262,1.32489659016102,1,0.86481392386148,0.751003762707549,3,2,4,"H","H0","H01",0,0,0
"29",29,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1.04521781867202,0.757118842089365,1.14159776095125,1.04521781867202,0.79135410460413,0.903408073935653,1,1.47349346335952,1.47936179550022,3,5,4,"H","H1","H11",0,0,0
"30",30,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1.03869589341417,0.956512828495762,0.7879132954344,1.03869589341417,0.993525946956522,0.782812302966095,1,0.351079946463583,0.0606475717604435,3,4,5,"H","H1","H11",0,1,1
"31",31,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1.01444983437373,0.775673198303178,0.985765420333605,1.01444983437373,0.786881547546801,0.77568061947023,1,0.975160218908653,0.891571186451387,3,2,3,"H","H1","H10",0,0,1
"32",32,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0.981461242507494,0.703042668908682,1.51485768370859,0.981461242507494,0.6900091313629,1.04526563447418,1,0.997521955344799,1.0553995289477,3,5,5,"H","H1","H11",0,0,0
"33",33,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1.01444983437373,0.761060246467194,0.889071825912083,1.01444983437373,0.772057440977076,0.686414518758499,1,0.975160218908653,0.998413141901098,3,5,5,"H","H1","H11",0,0,0
"34",34,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1.03880998737184,0.725794788176715,0.869158274936588,1.03880998737184,0.7539628747404,0.655313071575597,1,0.368855552909177,0.380085647899674,3,5,5,"H","H1","H11",0,1,1
"35",35,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0.957956158940521,1.07977347123516,0.899701341019211,0.957956158940521,1.03437564703031,0.930629156750785,1,0.96528609768976,0.924972394858812,3,2,4,"H","H0","H01",0,0,0
"36",36,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1.03032314162228,0.73844686890911,0.54603707506811,1.03032314162228,0.760838897895572,0.415446246404942,1,0.866705861699071,0.752443362253428,3,2,5,"H","H1","H10",0,0,0
"37",37,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0576307776508,2.87086425660537,0.772109850424732,1.0576307776508,3.03631439624341,2.34436825432596,1,0.867017729861433,0.805766940587786,3,1,5,"H","H0","H01",0,0,0
"38",38,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0.971008044047679,1.14783301597468,1.0631334991548,0.971008044047679,1.11455509173492,1.18492085467695,1,0.846051247836397,0.727185916013612,3,3,2,"H","H0","H00",0,0,0
"39",39,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1.01444983437373,0.948479742490849,0.953362026539676,1.01444983437373,0.96218511767668,0.917310753694556,1,0.975160218908653,0.863326476763986,3,3,2,"H","H1","H10",0,0,0
"40",40,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0.949982559988868,1.14078543185067,1.49783920552235,0.949982559988868,1.08372626494751,1.62324768769267,1,0.987575774493093,0.880483098450677,3,4,4,"H","H1","H10",0,0,0
"41",41,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0.975807709478632,0.730169196152011,1.03955747357675,0.975807709478632,0.712504730828949,0.740689617892028,1,0.998685542949684,2.29550902019858,3,5,4,"H","H1","H11",0,0,0
"42",42,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0.980437721609284,0.621823087150582,1.38274288040252,0.980437721609284,0.609658810809968,0.843001380122148,1,0.982389108590489,0.910091587731748,3,1,2,"H","H1","H10",0,0,0
"43",43,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1.00840601630582,0.729248871815111,0.826482105667932,1.00840601630582,0.735378949722591,0.607777542830599,1,0.976157568880719,1.02876928894159,3,5,5,"H","H1","H11",0,0,0
"44",44,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.06107952122052,0.837309868935143,0.813510683688398,1.06107952122052,0.888452354842919,0.72276548261283,1,0.99942090800992,1.00825818201241,3,2,1,"H","H0","H00",0,0,0
"45",45,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1.03032314162228,0.846476022735548,0.905244519357561,1.03032314162228,0.872143835052825,0.789503426773055,1,0.866705861699071,0.995363481437497,3,4,5,"H","H1","H11",0,0,0
"46",46,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0.991614066245504,1.11503147332925,1.08627157730019,0.991614066245504,1.10568089325973,1.20106972791193,1,0.867558704212048,0.750617124576585,3,3,2,"H","H0","H00",0,0,0
"47",47,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.981461242507494,0.9639848778888,0.909401877607321,0.981461242507494,0.946113796011176,0.860397662522753,1,0.997521955344799,0.886653053817254,3,3,2,"H","H1","H10",0,0,0
"48",48,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0.996309516528754,0.699983578871177,0.77828529874351,0.996309516528754,0.697400301043209,0.542776401641228,1,0.87099049770261,0.761037790475058,3,5,5,"H","H1","H11",0,0,0
